, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, Full Market Value LOC U, 
1/31/1999,,4.321,6.146, , , ,17.247, , , , ,3.225, , ,17.43, 
2/28/1999,,4.244,6.044, , , ,17.113, , , , ,3.148, , ,17.136, 
3/31/1999,,4.159,6.063, , , ,17.013, , , , ,1.383, , ,16.734, 
4/30/1999,,4.077,5.891, , , ,16.887, , , , ,4.332, , ,16.643, 
5/31/1999,,3.992,5.776, , , ,16.797, , , , ,4.253, , ,16.511, 
6/30/1999,,3.91,5.697, , , ,16.708, , , , ,4.169, , ,16.421, 
7/31/1999,,3.825,5.594, , , ,16.597, , , , ,4.757, , ,16.4, 
8/31/1999,,3.74,5.875, , , ,16.477, , , , ,4.669, , ,16.46, 
9/30/1999,,3.658,5.832, , , ,16.358, , , , ,4.567, , ,16.301, 
10/31/1999,,3.573,5.713, , , ,16.299, , , , ,4.43, , ,16.073, 
11/30/1999,,3.49,5.637, , , ,16.275, , , , ,5.315, , ,15.915, 
12/31/1999,,3.405,5.543, , , ,16.208, , , , ,5.221, , ,16.076, 
1/31/2000,,3.321,5.461, , , ,16.077, , , , ,5.13, , ,15.864, 
2/29/2000,,3.241,5.396, , , ,16.002, , , , ,5.046, , ,15.77, 
3/31/2000,,3.159,5.372, , , ,15.952, , , , ,4.995, , ,15.661, 
4/30/2000,,3.077,5.23, , , ,15.857, , , , ,6.11, , ,15.532, 
5/31/2000,,2.992,5.13, , , ,15.79, , , , ,6.022, , ,15.586, 
6/30/2000,,2.91,5.063, , , ,15.653, , , , ,5.951, , ,15.644, 
7/31/2000,,2.825,4.987, , , ,15.534, , , , ,6.282, , ,15.749, 
8/31/2000,,2.74,4.91, , , ,15.443, , , , ,5.922, , ,15.661, 
9/30/2000,,2.658,4.876, , , ,15.374, , , , ,5.857, , ,15.415, 
10/31/2000,,2.573,4.752, , , ,15.305, , , , ,5.723, , ,15.397, 
11/30/2000,,2.49,4.682, , , ,15.267, , , , ,5.637, , ,15.366, 
12/31/2000,,2.405,4.612, , , ,15.141, , , , ,5.331, , ,15.62, 
1/31/2001,,2.321,4.526, , , ,14.979, , , , ,5.252, , ,15.54, 
2/28/2001,,2.244,4.461, , , ,14.906, , , , ,5.084, , ,15.525, 
3/31/2001,,2.159,6.041, , , ,14.816, , , , ,5.004, , ,15.341, 
4/30/2001,,2.077,5.959, , , ,14.688, , , , ,4.943, , ,15.273, 
5/31/2001,,1.992,5.874, , , ,14.612, , , , ,5.712, , ,15.172, 
6/30/2001,,1.91,5.792, , , ,14.743, , , , ,5.662, , ,15.462, 
7/31/2001,,1.825,5.707, , , ,14.654, , , , ,5.578, , ,15.432, 
8/31/2001,,1.74,5.622, , , ,14.926, , , , ,5.689, , ,15.386, 
9/30/2001,,1.658,5.54, , , ,14.819, , , , ,5.458, , ,15.183, 
10/31/2001,,1.573,5.455, , , ,14.759, , , , ,5.364, , ,15.218, 
11/30/2001,,1.49,5.373, , , ,14.583, , , , ,5.201, , ,15.153, 
12/31/2001,,1.405,5.288, , , ,14.52, , , , ,5.162, , ,15.464, 
1/31/2002,,1.321,5.203, , , ,14.439, , , , ,4.979, , ,15.323, 
2/28/2002,,1.244,5.126, , , ,14.379, , , , ,4.876, , ,15.31, 
3/31/2002,,1.159,5.041, , , ,14.185, , , , ,4.062, , ,14.984, 
4/30/2002,,1.077,4.959,0, , ,11.66, , , , ,4.697, , ,15.077, 
5/31/2002,,0,4.874,9.902, , ,13.321, , , , ,4.557, , ,14.98, 
6/30/2002,,0,4.792,9.82, , ,13.227, , , , ,4.512, , ,15.285, 
7/31/2002,,0,4.707,9.735, , ,13.193, , , , ,4.417, , ,15.266, 
8/31/2002,,0,4.622,9.65, , ,13.104, , , , ,4.297, , ,15.189, 
9/30/2002,,0,4.54,9.568, , ,13.054, , , , ,4.242, , ,15.136, 
10/31/2002,,0,4.455,9.484, , ,12.504, , , , ,4.147, , ,15.031, 
11/30/2002,,0,4.373,9.402, , ,12.423, , , , ,4.12, , ,14.921, 
12/31/2002,,0,4.288,9.317, , ,12.34, , , , ,4.083, , ,15.232, 
1/31/2003,,0,4.203,9.232, , ,12.293, , , , ,4.012, , ,15.114, 
2/28/2003,,0,4.126,9.156, , ,12.163, , , , ,3.98, , ,15.131, 
3/31/2003,,0,4.041,9.068, , ,12.072, , , , ,3.914, , ,14.919, 
4/30/2003,,0,3.959,8.986, , ,11.994, , , , ,3.831, , ,14.859, 
5/31/2003,, ,3.183,8.902, , ,11.899, , , , ,3.735, , ,14.847, 
6/30/2003,, ,4.124,8.82, , ,11.816, , , , ,3.674, , ,15.152, 
7/31/2003,, ,4.038,8.735, , ,11.781, , , , ,3.582, , ,14.774, 
8/31/2003,, ,3.958,8.65, , ,11.682, , , , ,3.5, , ,16.355, 
9/30/2003,, ,3.871,8.568, , ,11.607, , , , ,3.449, , ,14.854, 
10/31/2003,, ,3.796,8.484, , ,11.525, , , , ,3.353, , ,14.435, 
11/30/2003,, ,3.712,8.402, , ,11.43, , , , ,3.245, , ,14.401, 
12/31/2003,, ,3.627,8.317, , ,11.345, , , , ,3.515, , ,14.587, 
1/31/2004,, ,3.542,8.232, , ,11.297, , , , ,3.449, , ,15.526, 
2/29/2004,, ,3.459,8.153, , ,11.214, , , , ,3.369, , ,15.404, 
3/31/2004,, ,3.376,8.068, , ,11.139, , , , ,3.797, , ,15.366, 
4/30/2004,, ,3.305,7.986, , ,11.075, , , , ,3.726, , ,15.219, 
5/31/2004,, ,3.102,7.902, , ,10.99, , , , ,4.13, , ,15.188, 
6/30/2004,, ,3.02,7.82, , ,8.962, , , , ,4.593, , ,14.77, 
7/31/2004,, ,2.935,7.735, , ,8.905, , , , ,4.511, , ,14.681, 
8/31/2004,, ,2.848,7.65, , ,8.848, , , , ,4.44, , ,14.671, 
9/30/2004,, ,2.767,7.568, , ,8.776, , , , ,4.868, , ,14.706, 
10/31/2004,, ,2.684,7.484, , ,8.703, , , , ,4.825, , ,14.886, 
11/30/2004,, ,2.602,7.402, , ,8.615, , , , ,4.702, , ,14.805, 
12/31/2004,, ,2.518,6.077,11.197, ,8.539, , , , ,4.903, , ,15.26, 
1/31/2005,, ,2.434,6.002,11.112, ,9.304, , , , ,4.825, , ,15.121, 
2/28/2005,, ,2.358,5.93,11.036, ,9.226, , , , ,4.748, , ,15.059, 
3/31/2005,, ,2.272,5.855,10.948, ,9.123, , , , ,4.656, , ,14.911, 
4/30/2005,19.505, ,2.193,5.761,10.866, ,9.051, , , , ,5.287, , ,14.832, 
5/31/2005,19.421, ,2.106,5.688,10.781, ,8.975, , , , ,5.184, , ,15.173, 
6/30/2005,19.339, ,2.023,5.607,10.699, ,8.897, , , , ,5.134, , ,15.219, 
7/31/2005,19.254, ,1.938,5.511,10.615, ,9.46, , , , ,5.049, , ,15.071, 
8/31/2005,19.169, ,1.853,5.438,10.53, ,9.375, , , , ,4.977, , ,15.085, 
9/30/2005,19.087, ,1.771,5.38,10.448, ,9.293, , , , ,4.894, , ,15.133, 
10/31/2005,19.003, ,1.688,5.256,10.363, ,9.208, , , , ,5.365, , ,15.042, 
11/30/2005,18.921, ,1.604,5.176,10.165, ,9.126, , , , ,5.276, , ,14.977, 
12/31/2005,18.836, ,1.519,5.094,10.08, ,9.041, , , , ,5.22, , ,14.721, 
1/31/2006,18.751, ,1.434,5.004,9.997, ,8.956, , , , ,5.147, , ,14.699, 
2/28/2006,18.675, ,1.358,4.922,9.92, ,8.879, , , , ,5.082, , ,14.715, 
3/31/2006,18.587, ,1.272,4.859,9.832, ,8.795, , , , ,4.995, , ,14.681, 
4/30/2006,18.505, ,1.302,4.737,9.75, ,8.712, , , , ,6.625, , ,14.588, 
5/31/2006,18.421, ,1.995,4.655,9.665, ,8.627, , , , ,6.555, , ,14.4, 
6/30/2006,18.339, ,1.913,4.559,9.584, ,8.545, , , , ,7.063, , ,14.747, 
7/31/2006,18.254, ,1.828,4.485,9.499, ,8.46, , , , ,6.913, , ,14.714, 
8/31/2006,18.169, ,1.743,4.411,9.414, ,8.375, , , , ,6.904, , ,14.669, 
9/30/2006,18.087, ,1.661,5.568,9.293, ,8.293, , , , ,6.84, , ,14.527, 
10/31/2006,18.003, ,1.577,5.484,9.208, ,8.208, , , , ,6.717, , ,14.485, 
11/30/2006,17.921, ,1.495,5.402,9.126, ,8.126, , , , ,6.832, , ,14.43, 
12/31/2006,17.836, ,1.41,5.317,9.041, ,8.041, , , , ,6.751, , ,14.408, 
1/31/2007,17.751, ,1.325,5.232,8.956, ,7.956, , , , ,6.706, , ,14.273, 
2/28/2007,17.675, ,1.249,5.156,8.879, ,7.879, , , , ,6.629, , ,14.225, 
3/31/2007,17.587, ,1.161,5.068,8.795, ,7.795, , , , ,6.578, , ,14.109, 
4/30/2007,17.505, ,1.079,4.986,8.712, ,7.712, , , , ,6.411, , ,13.983, 
5/31/2007,17.421, ,0.995,4.902,8.627, ,7.627, , , , ,6.307, , ,13.781, 
6/30/2007,17.339, , ,4.82,8.545, ,7.545, , , , ,6.346, , ,13.502, 
7/31/2007,17.254, , ,4.735,8.46, ,7.46, , , , ,6.32, , ,13.406, 
8/31/2007,17.169, , ,4.65,8.375, ,7.375, , , , ,6.662, , ,13.282, 
9/30/2007,17.087, , ,4.568,8.293, ,7.293, , , , ,6.613, , ,13.227, 
10/31/2007,17.003, , ,4.484,8.208, ,7.208, , , , ,6.048, , ,13.294, 
11/30/2007,16.921, , ,4.402,8.126, ,7.126, , , , ,5.989, , ,13.046, 
12/31/2007,16.836, , ,4.317,8.041, ,7.041, , , , ,5.933, , ,13.887, 
1/31/2008,16.751, , ,4.232,7.956, ,6.956, , , , ,5.856, , ,13.745, 
2/29/2008,16.672, , ,4.153,7.877, ,6.877, , , , ,5.78, , ,13.718, 
3/31/2008,16.587, , ,4.068,7.795, ,6.795, , , , ,5.622, , ,13.535, 
4/30/2008,16.505, , ,3.986,7.712, ,6.712, ,4.956, , ,5.512, , ,13.345, 
5/31/2008,16.421, , ,3.902,7.627, ,6.627, ,4.874, , ,5.436, , ,13.248, 
6/30/2008,16.339, , ,3.82,7.545, ,6.545, ,4.792, , ,5.426, , ,13.973, 
7/31/2008,16.254, , ,3.735,7.46, ,6.46, ,4.707, , ,5.352, , ,13.764, 
8/31/2008,16.169, , ,3.65,7.375, ,6.375, ,4.622, , ,5.332, , ,13.751, 
9/30/2008,16.087, , ,3.568,7.293, ,6.293, ,4.54, , ,5.222, , ,13.302, 
10/31/2008,16.003, , ,3.484,7.208, ,6.208, ,4.455, , ,5.159, , ,13.141, 
11/30/2008,15.921, , ,3.402,7.126, ,6.126, ,4.373, , ,5.197, , ,13.019, 
12/31/2008,15.836, , ,3.317,7.041, ,6.041, ,4.288, , ,5.636, , ,12.72, 
1/31/2009,15.751, , ,3.232,6.956, ,5.956, ,4.203, , ,5.599, , ,12.496, 
2/28/2009,15.675, , ,3.156,6.879, ,5.879, ,4.126, , ,5.548, , ,12.551, 
3/31/2009,15.587, , ,3.068,6.795, ,5.795, ,4.041, , ,6.091, , ,12.45, 
4/30/2009,15.505, , ,2.986,6.712, ,5.712, ,3.959, , ,6.067, , ,12.557, 
5/31/2009,15.421, , ,2.902,6.627, ,5.627, ,3.874, , ,6.019, , ,12.382, 
6/30/2009,15.339, , ,2.82,6.545, ,5.545, ,3.792, , ,5.973, , ,12.373, 
7/31/2009,15.254, , ,2.735,6.46, ,5.46, ,3.707, , ,5.907, , ,12.286, 
8/31/2009,15.169, , ,2.65,6.375, ,5.375, ,3.622, , ,5.823, , ,13.227, 
9/30/2009,15.087, , ,2.568,6.293, ,5.293, ,3.54, , ,5.769, , ,13.315, 
10/31/2009,15.003, , ,2.484,6.208, ,5.208, ,3.455, , ,5.669, , ,13.251, 
11/30/2009,14.921, , ,2.402,6.126, ,5.126, ,3.373, , ,5.615, , ,12.926, 
12/31/2009,14.836, , ,2.317,6.041, ,5.041, ,3.288, , ,5.538, , ,12.904, 
1/31/2010,14.751, , ,2.232,8.214, ,4.956, ,3.203, , ,5.656, , ,12.708, 
2/28/2010,14.675, , ,2.156,8.132, ,4.879, ,3.126, , ,5.587, , ,12.645, 
3/31/2010,14.587, , ,2.068,8.062, ,4.795, ,3.041, , ,5.927, , ,12.535, 
4/30/2010,14.505, , ,1.986,7.991, ,4.712, ,2.959, , ,5.815, , ,13.039, 
5/31/2010,14.421, , ,1.902,7.892, ,4.627, ,2.874, , ,6.152, , ,12.901, 
6/30/2010,14.339, , ,1.82,7.831, ,4.545, ,2.792, , ,6.076, , ,12.855, 
7/31/2010,14.254, , ,1.735,7.757, ,4.46, ,2.707, , ,5.996, , ,12.749, 
8/31/2010,14.169, , ,1.65,7.664, ,4.375, ,2.622, , ,5.941, , ,12.594, 
9/30/2010,14.087, , ,1.568,7.592, ,4.293, ,2.54, , ,5.879, , ,12.454, 
10/31/2010,14.003, , ,1.484,7.514, ,4.208, ,2.455, , ,5.778, , ,12.342, 
11/30/2010,13.921, , ,1.402,7.414, ,4.126, ,2.373, , ,5.962, , ,12.236, 
12/31/2010,13.836, , ,1.317,7.325, ,4.041, ,2.288, , ,5.88, , ,12.22, 
1/31/2011,13.751, , ,1.232,7.221, ,3.956, ,2.203, , ,5.988, , ,12.068, 
2/28/2011,13.675, , ,1.156,7.141, ,3.879, ,2.126, , ,5.935, , ,11.964, 
3/31/2011,13.587, , ,1.068,7.062, ,3.795,4.954,2.041, , ,6.101, , ,11.836, 
4/30/2011,13.505, , ,0.986,6.985, ,3.712,4.874,9.948, , ,6.003, , ,11.725, 
5/31/2011,13.421, , , ,6.905, ,3.627,4.79,9.866, , ,6.14, , ,11.675, 
6/30/2011,13.339, , , ,6.827, ,3.545,4.708,9.784, ,9.959,6.07, , ,11.657, 
7/31/2011,13.254, , , ,6.756, ,3.46,4.623,9.699,4.877,9.877,6.009, , ,11.512, 
8/31/2011,13.169, , , ,6.666, ,3.375,4.538,9.614,4.792,9.792,6.143, , ,12.573, 
9/30/2011,11.561, , , ,6.578, ,3.293,4.456,9.532,4.71,9.71,6.297, , ,12.397, 
10/31/2011,11.407, , , ,6.48, ,3.208,4.372,9.447,4.626,9.625,6.208, , ,12.651, 
11/30/2011,11.313, , , ,6.404, ,3.126,4.29,9.364,4.544,9.542,6.394, , ,12.575, 
12/31/2011,11.21, , , ,6.322, ,3.041,4.205,9.279,4.459,9.458,6.322, , ,12.525, 
1/31/2012,11.108, , , ,6.24, ,2.956,4.12,9.195,4.374,9.373,6.259, , ,12.475, 
2/29/2012,11.037, , , ,6.184, ,2.877,4.041,9.115,4.295,6.376,6.186, , ,12.571, 
3/31/2012,10.966, , , ,6.1, ,2.795,3.956,9.033,4.21,6.32,6.44, , ,12.433, 
4/30/2012,10.847, , , ,6.018, ,2.712,3.874,8.951,4.128,6.233,6.507, , ,12.366, 
5/31/2012,10.753,9.97, , ,5.934, ,2.627,3.79,8.866,6.919,6.143,6.405, , ,12.116, 
6/30/2012,10.654,9.89, , ,5.854, ,2.545,3.708,8.784,6.875,6.049,6.586, , ,12.122, 
7/31/2012,10.571,9.805, , ,5.772, ,2.46,3.623,8.699,6.856,5.981,6.657, , ,12.054, 
8/31/2012,10.501,9.721, , ,5.701, ,2.375,3.538,8.614,6.778,5.926,6.564, , ,12.022, 
9/30/2012,10.417,9.638, , ,5.616, ,2.293,3.456,8.532,6.739,5.864,6.522, , ,12.532, 
10/31/2012,9.815,9.553, , ,5.567,9.992,2.208,3.372,8.447,6.641,5.783,6.422, , ,12.456, 
11/30/2012,8.768,9.471, , ,5.477,9.912,2.126,3.29,8.364,6.526,5.711,6.668, , ,12.397, 
12/31/2012,8.673,9.386, , ,5.387,9.827,2.041,3.205,8.279,6.506,6.2,6.575, , ,12.415, 
1/31/2013,8.574,9.301, , ,5.305,9.742,1.956,3.12,8.195,6.416,6.111,6.523, , ,12.299, 
2/28/2013,8.104,9.225, , ,5.226,9.666,1.879,3.044,8.118,6.345,6.051,6.474, ,5.016,12.248, 
3/31/2013,8.006,9.14, , ,5.149,9.581,1.795,2.956,8.033,6.278,5.955,6.391, ,4.932,12.097, 
4/30/2013,7.898,9.058, , ,5.085,9.499,1.712,2.874,7.951,6.208,5.891,6.811, ,4.849,12.031, 
5/31/2013,7.519,8.973, , ,4.972,9.414,1.627,2.79,7.866,6.056,5.795,7.011, ,4.764,11.867, 
6/30/2013,7.447,8.89, , ,4.854,9.332,1.545,2.708,7.784,5.942,5.671,6.714, ,4.682,11.745, 
7/31/2013,7.343,8.805, , ,4.784,9.247,1.46,2.623,7.699,5.823,5.593,6.695, ,4.597,11.599, 
8/31/2013,7.263,8.721, , ,4.676,9.575,1.375,2.538,7.614,5.717,5.517,6.593, ,4.512,11.449, 
9/30/2013,7.171,8.638, , ,4.602,9.495,1.293,2.456,7.532,5.647,5.446,6.496, ,4.43,11.357, 
10/31/2013,7.073,8.553, , ,4.525,9.41,1.208,2.372,7.447,5.588,5.363,6.437, ,4.345,11.9, 
11/30/2013,6.993,8.471, , ,4.44,9.328,1.126,2.29,7.364,5.451,5.279,6.335, ,4.263,11.794, 
12/31/2013,6.557,8.386, , ,4.359,9.244,1.041,2.205,7.279,5.393,5.182,6.25, ,4.178,11.771, 
1/31/2014,6.471,8.301, , ,4.277,9.163, ,2.12,7.195,5.337,5.093,6.233, ,4.093,11.579, 
2/28/2014,6.398,8.223, , ,4.199,9.077, ,2.039,7.117,5.276,5.042,6.169, ,4.015,11.556, 
3/31/2014,6.301,8.139, , ,4.131,8.993, ,1.956,7.031,5.213,4.951,6.097, ,3.932,11.421, 
4/30/2014,6.217,8.056, , ,4.057,8.915, ,1.873,6.951,5.144,4.879,6.265,6.365,3.848,11.408, 
5/31/2014,6.127,7.973, , ,3.976,8.833, ,1.789,6.865,5.031,4.803,6.198,6.279,3.765,11.284, 
6/30/2014,6.055,7.889, , ,3.897,8.748, ,1.706,6.784,4.993,4.711,6.241,6.198,3.682,11.283, 
7/31/2014,5.976,7.806, , ,3.817,8.665, ,1.623,6.701,4.915,4.616,6.164,6.115,3.598,11.147, 
8/31/2014,5.894,7.723, , ,3.736,8.575, ,1.539,6.615,4.88,4.557,6.219,6.029,3.515,11.017, 
9/30/2014,5.802,7.639, , ,3.655,8.492, ,1.456,6.534,4.788,4.472,6.15,5.948,3.432,10.879, 
10/31/2014,5.709,7.556, , ,3.568,8.413, ,1.373,6.448,4.696,4.391,6.077,5.862,3.348,10.843, 
11/30/2014,5.621,7.473, , ,6.679,8.331, ,1.289,6.367,4.576,4.318,5.985,5.781,3.265,10.675, 
12/31/2014,5.545,7.389, , ,6.616,8.245, ,1.206,6.284,4.521,4.223,5.899,5.698,3.182,10.731, 
1/31/2015,5.463,7.306, , ,7.676,8.159, ,1.123,6.198,4.465,4.154,6.016,5.612,6.437,10.5, 
2/28/2015,5.384,7.223, ,9.919,7.588,8.076, ,1.039,6.117,4.385,4.086,5.939, ,6.227,11.027, 
3/31/2015,5.287,7.139, ,9.831,7.495,7.99, , ,6.031,4.323,4.004,6.588, ,6.297,10.89, 
4/30/2015,5.201,7.056, ,9.753,7.412,7.912, , ,5.951,4.4,3.926,6.696, ,6.163,10.836, 
5/31/2015,5.107,6.973, ,9.664,7.285,7.832, , ,5.865,4.285,3.838,6.716, ,6.254,10.735, 
6/30/2015,5.028,6.889, ,9.586,7.191,7.75, , ,5.784,6.862,3.733,6.626, ,6.07,10.705, 
7/31/2015,4.946,6.806, ,9.503,7.138,7.663, , ,5.701,6.779,3.654,6.54, ,6.078,10.619, 
8/31/2015,4.868,6.723, ,9.414,7.023,7.572, , ,5.615,6.695,3.588,6.42, ,6.018,10.59, 
9/30/2015,4.78,6.639, ,9.336,6.926,7.489, , ,5.534,6.612,3.516,6.353, ,6.004,10.415, 
10/31/2015,4.677,6.556, ,9.247,6.862,7.416, , ,5.448,6.529,3.43,6.282, ,5.923,10.425, 
11/30/2015,4.594,6.473, ,9.169,6.732,7.327, , ,5.367,6.445,3.349,6.878, ,5.504,10.306, 
12/31/2015,4.516,6.389, ,9.086,6.652,7.247, , ,5.284,6.362,2.954,6.818, ,5.365,10.287, 
1/31/2016,4.43,6.306, ,8.997,6.603,7.166, , ,5.198,6.279,2.862,6.72, ,5.386,10.199, 
2/29/2016,4.362,6.223, ,8.919,6.534,7.078, , ,5.117,6.195,4.426,6.631, ,5.37,10.07, 
3/31/2016,4.256,6.139, ,8.831,6.471,6.994, , ,5.031,6.112,4.342,7.117, ,5.454,9.865, 
4/30/2016,4.17,6.056, ,8.753,6.407,6.914, , ,4.951,6.029,4.26,7.195,6.714,5.336,9.824, 
5/31/2016,4.082,5.973, ,8.664,6.292,6.833, , ,4.865,5.945,4.174,7.096,6.631,5.276,9.75, 
6/30/2016,4.011,5.889, ,8.586,6.221,6.749, , ,4.784,5.862,4.086,6.991,6.548,5.288,9.749, 
7/31/2016,3.935,5.806, ,8.503,6.199,6.665, , ,4.701,5.779,4.007,6.926,6.464,5.287,9.564, 
8/31/2016,3.855,5.723, ,8.414,6.13,6.574, , ,4.615,5.695,3.925,6.838,6.381,5.202,9.451, 
9/30/2016,3.752,5.639, ,8.336,6.033,6.495, , ,4.534,5.612,3.842,6.762,6.298,5.067,9.262, 
10/31/2016,3.655,5.556, ,8.247,5.942,6.416, , ,4.448,5.529,3.757,6.903,6.214,4.846,9.33, 
11/30/2016,3.702,5.473, ,8.169,5.781,6.333, , ,4.367,5.445,3.674,6.738,6.131,4.469,9.194, 
12/31/2016,3.63,5.389, ,8.086,5.696,6.251, , ,4.284,5.362,3.581,6.714,6.048,4.379,9.068, 
1/31/2017,3.547,5.306, ,7.997,5.666,6.167, , ,4.198,5.279,3.501,6.635,5.964,4.316,8.9, 
2/28/2017,3.472,5.223, ,7.919,5.592,6.077, , ,4.117,5.195,3.419,6.543,5.881,1.015,8.729, 
3/31/2017,3.372,5.139, ,7.831,5.506,8.31, , ,4.031,5.112,3.336,7.414,5.798, ,8.642, 
4/30/2017,3.296,5.056, ,7.753,5.432,8.273, , ,3.951, ,3.254,7.364,5.714, ,8.678, 
5/31/2017,3.21,4.973, ,6.249,5.339,8.194, , ,3.865, ,3.17,7.29,5.631, ,8.651, 
6/30/2017,3.144,4.889, ,7.586,5.265,8.108, , ,3.784, ,3.081,7.398,5.548, ,8.618, 
7/31/2017,3.062,4.806, ,7.503,5.218,8.017, , ,3.701, ,3.002,7.327,5.464, ,8.558, 
8/31/2017,2.98,4.723, ,7.414,5.139,7.951, , ,3.615, ,2.918,7.209,5.381, ,8.585, 
9/30/2017,2.885,4.639, ,7.336,5.064,7.829, , ,3.534, ,2.718,7.08, , ,8.359, 
10/31/2017,2.799,4.556, ,7.247,4.985,7.765, , ,3.448, ,2.634,6.983, , ,8.308, 
11/30/2017,2.718,4.473, ,7.169,4.872,7.691, , ,3.367, ,2.552,7.204, , ,9.302, 
12/31/2017,3.101,4.389, ,7.086,4.795,7.606, , ,3.284, ,2.461,7.102, , ,10.348, 
1/31/2018,3.012,4.306, ,6.997,4.755,7.546, , ,3.198, ,2.38,7.325, , ,11.256, 
2/28/2018,2.939,4.223, ,6.919,4.638,7.451, , ,3.117, ,2.296,7.186, , ,11.15, 
3/31/2018,2.84,4.139, ,6.831,4.547,7.331, , ,3.031, ,2.327,7.102, , ,12.544, 
4/30/2018,2.761,4.056, ,6.753,4.465,7.264, , ,2.951, ,2.245,7.119, , ,19.919, 
5/31/2018,2.672,3.973, ,6.664,4.346,7.154, , ,2.865, ,2.16,7.113, , , , 
6/30/2018,2.592,3.889, ,6.586,4.258,7.064, , ,2.784, ,2.07,8.239, , , , 
7/31/2018,2.509,3.806, ,6.503,4.227,7.007, , ,2.701, ,1.992,8.301, , , , 
8/31/2018,2.431,3.723, ,6.414,4.151,6.944, , ,2.615, ,1.908,8.112, , , , 
9/30/2018,2.34,3.639, ,6.336,4.066,6.868, , ,2.534, ,1.825,8.044, , , , 
10/31/2018,2.252,3.556, ,6.247,3.976,6.808, , ,2.448, ,1.739,7.96, , , , 
11/30/2018,2.171,3.473, ,6.169,3.857,6.66, , ,2.367, ,1.657,8.189, , , , 
12/31/2018,2.089,3.389, ,6.086,3.781,6.57, , ,2.284, ,1.566,8.149, , , , 
1/31/2019,2.004,3.306, ,5.997,5.8,6.514, , ,2.198, ,2.376,8.182, , , , 
2/28/2019,2.578,3.223, ,5.919,5.72,6.448, , ,2.117, ,2.295,8.096, , , , 
3/31/2019,2.492,3.139, ,5.831,5.634,6.352, , ,2.031, ,2.209,8.329, , , , 
4/30/2019,2.411,3.056, ,5.753,5.553,6.284, , ,1.951, ,2.128,8.534, , , , 
5/31/2019,2.325,2.973, ,5.664,5.467,6.215, , ,1.865, ,2.042,8.359, , , , 
6/30/2019,2.245,2.889, ,5.586,5.387,6.128, , ,1.784, ,1.962,8.546, , , , 
7/31/2019,2.161,2.806, ,5.503,5.303,6.029, , ,1.701, ,1.878,8.474, , , , 
8/31/2019,2.075,2.723, ,5.414,5.217,5.955, , ,1.615, ,1.792,8.342, , , , 
9/30/2019,1.995,2.639, ,5.336,5.137,5.829, , ,1.534, ,1.712,8.273, , , , 
10/31/2019,1.908,2.556, ,5.247,5.05,5.753, , ,1.448, ,1.626,8.287, , , , 
11/30/2019,1.828,2.473, ,5.169,4.97,5.725, , ,1.367, ,1.545,8.199, , , , 
12/31/2019,1.745,2.389, ,5.086,4.887,5.672, , ,1.284, ,1.462,8.087, , , , 
1/31/2020,1.658,2.306, ,4.997,4.8,5.552, , ,1.198, ,1.376,7.923, , , , 
2/29/2020,1.578,2.223, ,4.919,4.72,5.481, , ,1.117, ,1.295,7.862, , , , 
3/31/2020,1.492,2.139, ,4.831,4.634,5.247, , ,1.031, ,1.209,7.786, , , , 
4/30/2020,1.411,2.056, ,4.753,4.553,5.227, , , , ,1.128, , , , , 
5/31/2020,1.325,1.973, ,4.664,4.467,5.179, , , , ,1.042, , , , , 
6/30/2020,1.245,1.889, ,4.586,4.387,5.07, , , , , , , , , , 
7/31/2020,1.161,1.806, ,4.503,4.303,5.014, , , , , , , , , , 
8/31/2020,1.075,1.723, ,4.414,4.217,4.934, , , , , , , , , , 
9/30/2020,,1.639, ,4.336,4.137,4.791, , , , , , , , , , 
10/31/2020,,1.556, ,4.247,4.05,4.733, , , , , , , , , , 
11/30/2020,,1.473, ,4.169,3.97,4.676, , , , , , , , , , 
12/31/2020,9.918,1.389, ,4.086,3.887,4.619, , , , , , , , , , 
1/31/2021,9.834,1.306, ,3.997,3.8,4.486, , , , , , , , , , 
